category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0016227	hereditary episodic ataxia	Hereditary episodic ataxia (EA) represents a group of neurological disorders characterized by recurrent episodes of ataxia and vertigo which may be progressive. Weakness, dystonia and ataxia are sometimes present in the interictal period. Seven types of EA have been described to date (EA type 1 to EA type 7), but most of the reported cases belong to EA1 and EA2.	episodic ataxia	mondo:rare; mondo:gard_rare; mondo:nord_rare; mondo:otar; mondo:disease_grouping; mondo:ordo_group_of_disorders	UMLS:C1720189; Orphanet:211062; MEDGEN:314033; DOID:963; SCTID:421455009; OMIMPS:160120; GARD:20457; icd11.foundation:423095680
MONDO:0021026	hereditary epidermal appendage anomaly	An instance of epidermal appendage anomaly that is caused by a modification of the individual's genome.	genetic epidermal appendage anomaly	mondo:rare; mondo:gard_rare; mondo:ordo_group_of_disorders	MEDGEN:1843118; GARD:20265; UMLS:C5680583; Orphanet:183447
MONDO:0015514	hereditary endocrine growth disease		genetic endocrine growth disease; growth disorder	mondo:rare; mondo:disease_grouping; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:otar	Orphanet:156643; UMLS:C5680637; MESH:D006130; GARD:20012; MEDGEN:1842942
MONDO:0023603	hereditary disorder of connective tissue	An inherited genetic disorder that affects the connective tissues. Representative examples include Ehlers-Danlos syndrome and Marfan syndrome.	hereditary connective tissue disorder; connective tissue hereditary disorder; Mendelian connective tissue disorder	mondo:otar	UMLS:C0410787; SCTID:363045008; NCIT:C97075; MEDGEN:473110
MONDO:0003847	hereditary disease	A disease that is caused by genetic modifications where those modifications are inherited from a parent's genome.	hereditary disease or disorder; molecular disease; hereditary disease; hereditary diseases; inherited disease; inherited genetic disease	mondo:rare_grouping; mondo:otar; mondo:harrisons_view	UMLS:C0019247; MESH:D030342; EFO:0000508; MEDGEN:5527; DOID:630; NCIT:C3101; SCTID:32895009; ICD9:799.89
MONDO:0015547	hereditary dementia	An instance of dementia that is caused by an inherited genomic modification in an individual.	genetic dementia	mondo:gard_rare; mondo:disease_grouping; mondo:otar; mondo:ordo_group_of_disorders; mondo:rare	UMLS:C5680680; Orphanet:158124; GARD:20028; MEDGEN:1842422
MONDO:0004883	hereditary choroidal atrophy				UMLS:C0154893; MEDGEN:509703; SCTID:74469006; DOID:9794; ICD9:363.50; ICD9:363.5
MONDO:0100310	hereditary cerebellar ataxia	Cerebellar ataxia that is transmitted from parent to child.	cerebellar hereditary ataxia; hereditary cerebellar ataxia	mondo:rare; mondo:otar; mondo:gard_rare	UMLS:C0270749; NCIT:C140268; MEDGEN:78726
MONDO:0100309	hereditary ataxia	An instance of an atactic disorder that is caused by an inherited genomic modification in an individual.	rare hereditary ataxia	mondo:disease_grouping; mondo:rare; mondo:mondo_rare; mondo:otar; mondo:nord_rare; mondo:gard_rare; mondo:ordo_group_of_disorders	EFO:0009671; SCTID:763597000; GARD:20286; Orphanet:183518; MESH:C531684; ICD10CM:G11; DOID:0050951; MEDGEN:2478; UMLS:C0004138
MONDO:0019623	hereditary angioedema	Hereditary angioedema (HAE) is a genetic disease characterized by the occurrence of transitory and recurrent subcutaneous and/or submucosal edemas resulting in swelling and/or abdominal pain.	hereditary angioneurotic edema; familial angioneurotic edema; hereditary non histamine-induced angioedema; HAE; HANE; hereditary angioedema; hereditary bradykinine-induced angioedema; hereditary angioneurotic oedema; familial angioneurotic oedema	mondo:ordo_group_of_disorders; mondo:gard_rare; mondo:otar; mondo:rare	NANDO:2200795; MedDRA:10019860; MEDGEN:9229; UMLS:C0019243; OMIMPS:106100; Orphanet:91378; icd11.foundation:795969334; GARD:5979; NANDO:1200365; SCTID:82966003; NCIT:C84758; MESH:D054179; DOID:14735
MONDO:0018634	hereditary amyloidosis	Hereditary amyloidosis refers to a group of inherited conditions that make up one of the subtypes of amyloidosis. Hereditary amyloidosisis characterized by the deposit of an abnormal protein called amyloid in multiple organs of the body where it should not be, which causes disruption of organ tissue structure and function. In hereditary amyloidosis, amyloid deposits most often occur in tissues of the heart, kidneys, and nervous system. While symptoms of hereditary amyloidosis may appear in childhood, most individuals do not experience symptoms until adulthood. There are many types of hereditary amyloidosis associated with different gene mutations and abnormal proteins. The most common type of hereditary amyloidosis is transthyretin amyloidosis (ATTR),a condition in which the amyloid deposits are most often made up of the transthyretin protein which is made in the liver. Other examplesof hereditary amyloidosis include, but are not limited to, apolipoprotein AI amyloidosis (A ApoAI), gelsolin amyloidosis (A Gel), lysozyme amyloidosis (A Lys), cystatin C amyloidosis (A Cys), fibrinogen Aα-chain amyloidosis (A Fib), and apolipoprotein AII amyloidosis (A ApoAII). Most types of hereditary amyloidosis are inherited in an autosomal dominant manner. Treatment is focused on addressing symptoms of organ damage and slowing down the production of amyloid when possible through methods such as liver transplants.	hereditary amyloidosis (disease); amyloidosis, Familial	mondo:disease_grouping; mondo:otar; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:rare; mondo:nord_rare	Orphanet:444116; GARD:6611; UMLS:C0740340; MEDGEN:148146; MESH:D028226; icd11.foundation:1152878652; SCTID:367601000119103; NCIT:C84555
MONDO:0003321	hereditary Wilms tumor	Familial embryonal neoplasm derived from nephrogenic blastemal cells. Several lines of differentiation, including blastemal, stromal and epithelial, are usually expressed. Comprises approximately 1% of Wilms tumors. (AFIP fascicle version 2.0)	hereditary nephroblastoma; hereditary Wilms' tumor; hereditary Wilms tumor; hereditary renal adenosarcoma; hereditary kidney adenosarcoma; hereditary Wilms' tumour; familial Wilms' tumor; familial Wilms tumor; familial Wilms' tumour; familial Wilms tumour	mondo:otar; mondo:gard_rare; mondo:rare	NCIT:C8496; DOID:5183; UMLS:C0677779; MEDGEN:146190; OMIMPS:194070
MONDO:0006243	hepatoid adenocarcinoma	An adenocarcinoma with morphologic characteristics similar to hepatocellular carcinoma, arising from an anatomic site other than the liver.	hepatoid adenocarcinoma; hepatoid carcinoma	mondo:otar	MEDGEN:220413; EFO:1000293; NCIT:C66950; DOID:0060534; ICDO:8576/3; UMLS:C1266090
MONDO:0002514	hepatobiliary neoplasm	A benign or malignant neoplasm that affects the liver parenchyma, bile ducts, and gallbladder. Representative examples of benign neoplasms include hepatocellular adenoma, bile duct adenoma, and gallbladder lipoma. Representative examples of malignant neoplasms include hepatocellular carcinoma, intrahepatic and extrahepatic cholangiocarcinoma, and gallbladder carcinoma.	tumour of hepatobiliary system; liver and biliary neoplasm; hepato-biliary tumor; hepatobiliary tumor; hepatic and biliary neoplasms; hepato-biliary tumour; liver and biliary system neoplasm; hepatobiliary neoplasm; hepatobiliary tumour; hepato-biliary neoplasm; hepatic and biliary tumours; hepatobiliary tumours; hepatic, biliary, and gallbladder neoplasms; neoplasm of hepatobiliary system; hepatobiliary system tumor; hepatic and biliary tumors; hepatobiliary system neoplasm (disease); hepatobiliary system neoplasm; tumor of hepatobiliary system; hepatobiliary tumors; hepatobiliary system tumour	mondo:otar	MEDGEN:208891; NCIT:C8614; EFO:0008550; DOID:0080355; UMLS:C0854196
MONDO:0002515	hepatobiliary disorder	A non-neoplastic or neoplastic disorder that affects the liver, bile ducts, and gallbladder. Representative examples of non-neoplastic disorders include hepatitis, cirrhosis, cholangitis, and cholecystitis. Representative examples of neoplastic disorders include hepatocellular adenoma, hepatocellular carcinoma, and cholangiocarcinoma.	liver and biliary disorder; disease or disorder of hepatobiliary system; liver and biliary system disorder; liver and biliary tract disease; hepatobiliary system disease; disease of hepatobiliary system; disorder of hepatobiliary system; liver and biliary disease; hepatobiliary disorder; hepatobiliary system disease or disorder	mondo:otar	NCIT:C3959; DOID:3118; EFO:0010284; MEDGEN:82758; UMLS:C0267792
MONDO:0859689	hepatobiliary benign neoplasm				DOID:3117
MONDO:0005231	hepatitis C virus infection	A viral infection caused by the hepatitis C virus.	Hepatitis C virus hepatitis; NANBH; viral hepatitis C; Hepatitis C virus caused hepatitis; hepatitis type C; hepatitis Nona nonB; non-A, non-B Hepatitis; hepatitis C infection	mondo:otar	EFO:0003047; DOID:1883; MEDGEN:42425; NCIT:C3098; MESH:D006526; ICD9:070.54; SCTID:128302006; ICD9:070.41; UMLS:C0019196; ICD9:070.7
MONDO:0005344	hepatitis B virus infection	A viral infection caused by the hepatitis B virus.	viral Hepatitis B; hepatitis type B; Hepatitis B virus hepatitis; Hepatitis B; Hepatitis B virus caused hepatitis; Hepatitis B infection; hepatitis B infection	mondo:otar	MEDGEN:6807; MESH:D006509; NCIT:C3097; UMLS:C0019163; ICD9:070.30; EFO:0004197; SCTID:66071002; DOID:2043
MONDO:0002251	hepatitis	An active inflammatory process affecting the liver for more than six months. Causes include viral infections, autoimmune disorders, drugs, and metabolic disorders.	inflammation of liver; Hepatitis; hepatitis; liver inflammation		ICD9:571.4; MESH:D006505; UMLS:C0019158; ICD9:570; SCTID:197268000; DOID:2237; ICD9:571.40; NCIT:C3095; ICD9:571.41; MEDGEN:5515
MONDO:0002405	hepatic vascular disorder	A non-neoplastic or neoplastic vascular disorder that affects the liver. Representative examples include veno-occlusive disease, hemangioma, lymphangioma, and angiosarcoma.	hepatic vascular disorder; liver vascular disorder; vascular disorder of liver	mondo:otar	DOID:272; UMLS:C0400923; NCIT:C35442; ICD9:573.8; MEDGEN:140779; SCTID:235878005
MONDO:0002520	hepatic porphyria	A group of metabolic diseases due to deficiency of one of a number of liver enzymes in the biosynthetic pathway of heme. They are characterized by the accumulation and increased excretion of porphyrins or its precursors. Clinical features include neurological symptoms (porphyria, acute intermittent), cutaneous lesions due to photosensitivity (porphyria cutanea tarda), or both (hereditary coproporphyria). Hepatic porphyrias can be hereditary or acquired as a result of toxicity to the hepatic tissues.	porphyria of liver; hepatic porphyria; porphobilinogen synthase deficiency; liver porphyria; Delta-aminolevulinate dehydratase deficiency; ALAD deficiency	mondo:disease_grouping; mondo:otar; mondo:ordo_group_of_disorders; mondo:rare; mondo:gard_rare	SCTID:55056006; DOID:3133; GTR:AN0932921; Orphanet:95157; MEDGEN:58119; MESH:D017094; GARD:19255; UMLS:C0162533
MONDO:0001711	hepatic encephalopathy	Hepatic encephalopathy is a syndrome observed in some patients with cirrhosis. It is defined as a spectrum of neuropsychiatric abnormalities in patients with liver dysfunction, when other known brain disease has been excluded.Signs and symptomsmay be debilitating, and they can begin mildly and gradually, or occur suddenly and severely. They may includepersonality or moodchanges, intellectual impairment, abnormal movements,a depressed level of consciousness, and other symptoms.There are several theories regarding the exact cause, butdevelopment of the condition isprobablyat least partiallydue to the effect of substances that are toxic to nerve tissue (neurotoxic), which are typically present with liver damage and/or liver disease. Treatment depends upon the severity of mental status changes and upon the certainty of the diagnosis.	portal-systemic encephalopathy		SCTID:13920009; MESH:D006501; MEDGEN:5513; NCIT:C79596; DOID:13413; UMLS:C0019151; ICD9:572.2
MONDO:0005785	henipavirus infectious disease	Infections with viruses of the genus henipavirus, family paramyxoviridae.	Henipavirus caused disease or disorder; Henipavirus infectious disease; Henipavirus disease or disorder	mondo:otar	MESH:D045464; EFO:0007300
MONDO:0001436	hemosiderosis	Accumulation of iron in internal organs.	haemosiderosis	mondo:otar	NCIT:C82892; SCTID:39011001; MEDGEN:42409; DOID:12119; MESH:D006486; UMLS:C0019114
MONDO:0004872	hemorrhoid	Dilated veins in the anal canal.	hemorrhoidal disease; Hemorrhoids; Haemorrhoids; hemorrhoid	mondo:otar	ICD9:455.8; MESH:D006484; UMLS:C0019112; ICD9:455; DOID:9746; MEDGEN:5507; NCIT:C26792; EFO:0009552; SCTID:70153002
MONDO:0600002	hemorrhagic fever	An infectious disease caused by certain viruses or bacteria that can damage the walls of tiny blood vessels, making them leak, and can hamper the blood's ability to clot and cause severe, life-threatening illness.	haemorrhagic fever	mondo:otar	NCIT:C36169
MONDO:0002243	hemorrhagic disease	Spontaneous or near spontaneous bleeding caused by a defect in clotting mechanisms (blood coagulation disorders) or another abnormality causing a structural flaw in the blood vessels (hemostatic disorders).	bleeding tendency; hemorrhagic disease; bleeding disorder; bleeding predisposition; bleeding diathesis; hemorrhagic diathesis	mondo:rare; mondo:otar; mondo:gard_rare	MEDGEN:6799; UMLS:C0019087; NCIT:C115221; MESH:D006474; ICD9:287.9; DOID:2213
MONDO:0018660	hemophilia	Hemophilia is a genetic disorder characterized by spontaneous hemorrhage or prolonged bleeding due to factor VIII or IX deficiency.	hemophilia	mondo:ordo_group_of_disorders; mondo:nord_rare; mondo:otar; mondo:disease_grouping; mondo:gard_rare; mondo:rare	Orphanet:448; MEDGEN:146334; NCIT:C3093; MedDRA:10061992; UMLS:C0684275; GARD:10418; SCTID:90935002
MONDO:0015540	hemophagocytic syndrome	Hemophagocytic syndrome (HPS) is a rare immune disease and a potentially life-threatening disorder characterized by cytokine storm and overwhelming inflammation causing fever, hepatosplenomegaly, cytopenia, hypertriglyceridemia, hyperferritinemia, and hemophagocytosis in bone marrow, liver, spleen or lymph nodes. It can be either primary due to a genetic defect (primary hemophagocytic lymphohistiocytosis), or secondary to malignancies, to infections, most commonly with viruses such as Epstein-Barr virus or cytomegalovirus, human immunodeficiency virus, or to autoimmune disorders such as systemic lupus erythematosus or adult-onset Still disease (secondary hemophagocytic lymphohistiocytosis).	hemophagocytic lymphohistiocytosis; hemophagocytic syndrome; HLH; Hemophagocytic Lymphohistiocytosis	mondo:gard_rare; mondo:disease_grouping; mondo:otar; mondo:nord_rare; mondo:ordo_group_of_disorders; mondo:rare	ICD9:288.8; NANDO:2200032; NCIT:C35439; SCTID:234437005; GARD:20024; NORD:1938; Orphanet:158032; DOID:0050120; MedDRA:10058125; NCIT:C34792; MEDGEN:854411; UMLS:C3887558
MONDO:0003664	hemolytic anemia	Anemia resulting from the premature destruction of the peripheral blood red cells. It may be congenital or it may be caused by infections, medications, or malignancies.	anemia hemolytic; hemolytic anemia; anemia, hemolytic; anaemia hemolytic	mondo:gard_rare; mondo:rare	NANDO:2200636; UMLS:C0002878; ICD10CM:D55-D59; MEDGEN:1916; DOID:583; NCIT:C34376; MESH:D000743; SCTID:61261009
MONDO:0044348	hemoglobinopathy		hemoglobinopathy	mondo:otar; mondo:gard_rare; mondo:rare	GARD:12455; MEDGEN:42400; ICD9:282.7; UMLS:C0019045; SCTID:80141007
MONDO:0001170	hemiplegia	Severe or complete loss of motor function on one side of the body. This condition is usually caused by brain diseases that are localized to the cerebral hemisphere opposite to the side of weakness. Less frequently, brain stem lesions; cervical spinal cord diseases; peripheral nervous system diseases; and other conditions may manifest as hemiplegia. The term hemiparesis (see paresis) refers to mild to moderate weakness involving one side of the body.	postnatal infantile hemiplegia; infantile hemiplegia	mondo:otar	DOID:10969; UMLS:C0018991; EFO:0009453; MESH:D006429; ICD9:343.4; MEDGEN:9196; SCTID:1593000
MONDO:0016240	hemimelia	Hemimelia is a limb malformation characterized by the absence or gross shortening of the lower portion of one or more of the limbs. The condition is designated according to which bone of the distal arm or leg is absent or defective and includes fibular, radial, tibial, or ulnar hemimelia. Hemimelia ranges in severity.	longitudinal meromelia	mondo:disease_grouping; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:rare	MEDGEN:9194; SCTID:33076008; NCIT:C34674; Orphanet:2130; GARD:18761; MedDRA:10019464; UMLS:C0018987
MONDO:0957317	hematuria, benign familial				MESH:C562476; UMLS:C0241908; Orphanet:97562; MEDGEN:66039; OMIMPS:141200; DOID:0111365
MONDO:0002334	hematopoietic and lymphoid system neoplasm	Neoplasms of the hematopoietic system, including hematopoietic cell neoplasms (e.g. leukemias, lymphomas) and non-hematopoietic cell neoplasms that can affect the hematopoietic system (e.g. lymph node and splenic sarcomas). --2003	blood neoplasm (disease); tumor of hematopoietic system; haematopoietic and lymphoid system tumour; haematopoietic tumours; blood tumor; hematopoietic and lymphoid system tumor; blood tumour; haematological tumours; tumor of blood; haematopoietic system neoplasm; tumour of haematopoietic system; hematopoietic and lymphoid system neoplasm; hematopoietic system tumor; hematological tumors; hematopoietic tumors; tumour of blood; neoplasm of hematopoietic system; neoplasm of blood; haematopoietic system tumour; hematopoietic system neoplasm; neoplasm of haematopoietic system	mondo:gard_rare; mondo:otar; mondo:rare	MEDGEN:268180; UMLS:C1512393; DOID:2531; NCIT:C35813; MESH:D019337; SCTID:129154003
MONDO:0044881	hematopoietic and lymphoid cell neoplasm	A neoplasm arising from hematopoietic cells found in the bone marrow, peripheral blood, lymph nodes and spleen (organs of the hematopoietic system). Hematopoietic cell neoplasms can also involve other anatomic sites (e.g. central nervous system, gastrointestinal tract), either by metastasis, direct tumor infiltration, or neoplastic transformation of extranodal lymphoid tissues. The commonest forms are the various types of leukemia, Hodgkin and non-Hodgkin lymphomas, myeloproliferative neoplasms, and myelodysplastic syndromes.	haematopoietic tumour; malignant haematopoietic neoplasm; hematological tumor; haematopoietic neoplasm; malignant hematopoietic neoplasm; haematopoietic neoplasms including lymphomas; hematopoietic and lymphoid cell neoplasm; haematopoietic cell tumour; hematopoietic neoplasm; HEMOLYMPHORETICULAR tumor, malignant; hematopoietic neoplasms including lymphomas; hematopoietic and lymphoid neoplasms; haematological neoplasm; hematologic malignancy; hematopoietic tumor; haematopoietic cancer; haematopoietic malignancy, NOS; hematopoietic cancer; hematopoietic, Including myeloma; hematological neoplasm; hematologic neoplasm; hematologic cancer; hematopoietic cell tumor; haematological tumour; haematopoietic and lymphoid neoplasms; hematopoietic malignancy, NOS; malignant hematologic neoplasm	mondo:otar; mondo:gard_rare; mondo:rare	UMLS:C0376544; NCIT:C27134; MEDGEN:91264
MONDO:0005570	hematologic disorder	A disease involving the hematopoietic system.	haematopoietic disease; disorder of hematopoietic system; blood disease; hematopoietic system disease or disorder; haematological system disease; hematologic and lymphocytic disorder; disease of the blood and blood-forming organs; hematopoietic system disease; rare hematologic disease; haematopoietic system disease or disorder; disease or disorder of hematopoietic system; haematological disorder; blood dyscrasia; disease or disorder of haematopoietic system; hematological disorder; blood disorder; hematological system disease; hematological disease; disease of haematopoietic system; hematopoietic disease; hematologic disorder; disease of hematopoietic system; haematopoietic system disease; haematological disease; disorder of haematopoietic system	mondo:otar; mondo:ordo_group_of_disorders; mondo:disease_grouping; mondo:rare_grouping	ICD9:280-289.99; MESH:D006402; SCTID:414022008; ICD9:289.8; Orphanet:97992; ICD9:289.9; ICD10CM:D50-D89; NANDO:2100175; UMLS:C0018939; MEDGEN:5483; NCIT:C26323; EFO:0005803; NANDO:1100006; GTR:AN1320635; DOID:74
MONDO:0005094	hemangiopericytoma	An antiquated term that refers to benign or malignant mesenchymal neoplasms characterized by the presence of neoplastic spindle-shaped to round cells arranged around thin-walled branching vascular spaces.	hemangiopericytoma; haemangiopericytic meningioma [obs]; haemangiopericytic meningioma	mondo:otar	DOID:264; MEDGEN:5478; SCTID:134335004; ICDO:9150/1; MESH:D006393; UMLS:C0018922; NCIT:C3087
MONDO:0002789	hemangiopericytic tumor	A term that refers to vascular neoplasms with a prominent hemangiopericytic growth pattern.	hemangiopericytic neoplasm		UMLS:C0476144; NCIT:C7076; DOID:3850; MEDGEN:99196
MONDO:0021541	hemangioma of retina	A hemangioma that involves the retina.	angioma of the retina; angioma of retina; retina hemangioma; retinal hemangioma; retinal angioma; retina angioma; hemangioma of the retina		SCTID:93470007; NCIT:C3634; UMLS:C0154051; MEDGEN:102307; ICD9:228.03
MONDO:0003194	hemangioma of lung	A hemangioma that involves the lung.	pulmonary hemangioma; lung hemangioma	mondo:otar	MEDGEN:1843480; UMLS:C0241983; DOID:490
MONDO:0006500	hemangioma	A benign vascular lesion characterized by the formation of capillary-sized or cavernous vascular channels.	benign hemangioma; hemangioma, benign; hemangioma	mondo:otar	ICD9:228.0; NCIT:C3085; MESH:D006391; ICDO:9120/0; MEDGEN:5477; DOID:255; ONCOTREE:HEMA; ICD9:228.09; UMLS:C0018916; HP:0001028; ICD9:228.00; EFO:1000635; SCTID:400210000
MONDO:0021121	hemangioendothelioma	A vascular proliferation characterized by the presence of prominent endothelial cells and the formation of vascular channels. Hemangioendotheliomas may display borderline or low grade characteristics.	hemangioendothelioma; angioendothelioma	mondo:otar	NCIT:C3084; MESH:D006390; MEDGEN:42384; ICDO:9130/1; UMLS:C0018915; SCTID:403980002
MONDO:0004664	helminthiasis	A parasitic infection characterized by the infestation with worms, mainly in the intestine.	helminthiasis; parasitic helminthiasis infectious disease; helminthosis; helminth infection	mondo:otar	ICD10CM:B65-B83; NCIT:C84751; ICD9:120-129.99; DOID:883; UMLS:C0018889; MESH:D006373; EFO:1001342; MEDGEN:6765; ICD9:128.8; ICD9:128.9; SCTID:27601005
MONDO:0023305	heavy metal poisoning	Heavy metal poisoning refers to when excessive exposure to a heavy metal affects the normal function of the body. Examples of heavy metals that can cause toxicity include lead, mercury, arsenic, cadmium, and chromium. Exposure may occur through the diet, from medications, from the environment, or in the course of work or play. Heavy metals can enter the body through the skin, or by inhalation or ingestion. Toxicity can result from sudden, severe exposure, or from chronic exposure over time. Symptoms can vary depending on the metal involved, the amount absorbed, and the age of the person exposed. For example, young children are more susceptible to the effects of lead exposure because they absorb more compared with adults and their brains are still developing. Nausea, vomiting, diarrhea, and abdominal pain are common symptoms of acute metal ingestion. Chronic exposure may cause various symptoms resulting from damage to body organs, and may increase the risk of cancer. Treatment depends on the circumstances of the exposure.	heavy metal poisoning; toxic effect of heavy metal	mondo:rare; mondo:otar; mondo:nord_rare; mondo:gard_rare	GARD:6577; EFO:1001518; ICD9:985.8; MESH:D000075322; NORD:1219; SCTID:85866007
MONDO:0016432	heart-hand syndrome	Heart-hand syndrome refers to a group of congenital disorders characterized by malformations of the upper limbs and heart. To date, heart-hand syndrome comprises the following rare syndromes; Holt-Oram syndrome; heart-hand syndrome type 2; heart-hand syndrome type 3; heart hand syndrome, Slovenian type, brachydactyly-long thumb; and patent ductus arteriosus-bicuspid aortic valve - hand anomalies.	atriodigital dysplasia	mondo:rare; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:otar; mondo:nord_rare; mondo:disease_grouping	GARD:20573; Orphanet:228184
MONDO:0002869	heart valve disorder	A disease involving the cardial valve.	disorder of heart valve; disorder of cardial valve; valvular heart disease; valvular heart disorder; disease of cardial valve; heart valve disorder; cardial valve disease or disorder; cardial valve disease; disease or disorder of cardial valve	mondo:otar	UMLS:C0018824; DOID:4079; SCTID:368009; ICD9:424.99; NANDO:2100105; EFO:0009551; MESH:D006349; NCIT:C45525; MEDGEN:5463
MONDO:0002078	heart septal defect	A congenital disorder characterized by the presence of an abnormal communication between the atria or the ventricles of the heart due to defects in the cardiac septum.	congenital septal defect of heart; holes in the heart; congenital septal defect; septal defect; Cardiac septal defects	mondo:otar	SCTID:253273004; DOID:1681; ICD9:745.8; ICD9:745.9; MEDGEN:6752; NCIT:C84482; UMLS:C0018816; MESH:D006343
MONDO:0003354	heart sarcoma	A malignant soft tissue neoplasm that arises from the heart. The majority of cases are angiosarcomas.	sarcoma of the heart; heart sarcoma; cardiac sarcoma; sarcoma of heart; Cardiac sarcoma	mondo:otar; mondo:rare; mondo:gard_rare	UMLS:C0238152; MEDGEN:68657; NCIT:C7723; DOID:5262
MONDO:0021209	heart neoplasm	A neoplasm (disease) that involves the heart.	heart neoplasm (disease); Cardiac tumour; neoplasm of heart; Cardiac tumor; tumour of heart; heart tumour; heart tumor; neoplasm of the heart; tumor of the heart; Cardiac neoplasms; tumor of heart; tumour of the heart; Cardiac neoplasm	mondo:otar	UMLS:C0018809; NANDO:2100061; NANDO:2200236; MEDGEN:9172; EFO:1001339; NCIT:C3081
MONDO:0003841	heart lipoma	A rare benign adipose tissue neoplasm of the heart usually originating in the epicardial or pericardial fatty tissue.	lipoma of the heart; lipoma of heart; heart lipoma; Cardiac lipoma		MEDGEN:272436; DOID:6285; NCIT:C6741; UMLS:C1332849
MONDO:0005252	heart failure	Inability of the heart to pump blood at an adequate rate to meet tissue metabolic requirements. Clinical symptoms of heart failure include: unusual dyspnea on light exertion, recurrent dyspnea occurring in the supine position, fluid retention or rales, jugular venous distension, pulmonary edema on physical exam, or pulmonary edema on chest x-ray presumed to be cardiac dysfunction.	cardiac insufficiency; insufficiency, Cardiac; cardiac failure; heart failure; failure, heart	mondo:otar	ICD9:428; NCIT:C50577; MEDGEN:6749; ICD9:428.9; MESH:D006333; SCTID:84114007; UMLS:C0018801; EFO:0003144
MONDO:0005267	heart disorder	A disease involving the heart and/or pericardium.	heart/pericardial trouble; disease or disorder of heart; heart/pericardial disease; disorder of heart; heart trouble; disorder of heart/pericardium; heart disease; heart disorder; heart/pericardial disorder; heart disease or disorder; cardiac disease; disease of heart; heart/pericardial disease or disorder	mondo:rare_grouping; mondo:otar	SCTID:56265001; ICD9:429.9; ICD9:V47.2; MESH:D006331; ICD9:429.89; DOID:114; NCIT:C3079; MEDGEN:5458; UMLS:C0018799; EFO:0003777
MONDO:0000992	heart conduction disease	A disease that has its basis in the disruption of the heart's electrical conduction system.	disorder of cardiac conduction; cardiac conduction disorder; cardiac conduction disease; conduction disease of heart; disease of cardiac conduction; heart rhythm disease	mondo:otar	SCTID:44808001; ICD9:426.6; DOID:10273
MONDO:0001340	heart cancer	A malignant neoplasm involving the heart	malignant Cardiac tumor; malignant heart neoplasm; malignant neoplasm of the heart; cancer of heart; malignant tumour of heart; malignant tumour of the heart; malignant Cardiac neoplasm; malignant tumor of the heart; heart cancer; malignant heart tumour; malignant tumor of heart; Cardiac neoplasm, malignant; malignant neoplasm of heart; malignant Cardiac tumour; malignant heart tumor	mondo:otar	NCIT:C3548; DOID:117; MEDGEN:57787; UMLS:C0153500; ICD9:164.1; MESH:D006338
MONDO:0005365	hearing loss disorder	A partial or complete loss of hearing in one or both ears. It is classified as conductive, sensory, or central.	hearing loss; hypoacusis; loss of hearing; loss, hearing; hypoacuses	mondo:otar; mondo:clingen	ICD10CM:H90; UMLS:C1384666; MESH:D034381; EFO:0004238; ICD9:389; ICD9:389.9; ICD9:389.8; NCIT:C35731; SCTID:15188001; MEDGEN:235586
MONDO:0021945	hearing disorder	A disorder characterized by the partial or complete loss of the ability to detect sounds due to damage to the ear structures or inability of the brain to properly interpret or process the auditory signals it receives from the anatomic structures of the ear.	hearing disorder	mondo:otar	SCTID:128540005; MEDGEN:82636; NCIT:C3078; UMLS:C0260662; MESH:D006311
MONDO:0021146	headache disorder	Various conditions with the symptom of headache. Headache disorders are classified into major groups, such as primary headache disorders (based on characteristics of their headache symptoms) and secondary headache disorders (based on their etiologies). (International Classification of Headache Disorders, 2nd ed. Cephalalgia 2004: suppl 1)	headache disorder	mondo:otar	UMLS:C0393735; MESH:D020773; MEDGEN:140743; EFO:0009550; SCTID:230461009
MONDO:0005586	head and neck neoplasm	A benign or malignant neoplasm that affects the anatomic structures of the head and neck region. Representative examples of benign neoplasms include salivary gland pleomorphic adenoma and nasal cavity papilloma. Representative examples of malignant neoplasms include oral cavity squamous cell carcinoma, laryngeal squamous cell carcinoma, and salivary gland carcinoma.	craniocervical region tumour; craniocervical region tumor; neoplasm of the head and neck; head and neck tumour; craniocervical region neoplasm (disease); tumor of craniocervical region; neoplasm of head and neck; tumor of head and neck; tumor of the head and neck; tumour of the head and neck; neoplasm of craniocervical region; tumour of head and neck; head and neck tumor; tumour of craniocervical region; head and neck neoplasm (excluding central nervous system); craniocervical region neoplasm; head and neck neoplasm	mondo:otar	SCTID:255055008; UMLS:C0018671; NCIT:C3077; MEDGEN:6728; ICD9:239.89; ONCOTREE:HEADNECK; EFO:0005950
MONDO:0002038	head and neck carcinoma	A carcinoma that arises from the head and neck region. Representative examples include oral cavity squamous cell carcinoma, laryngeal squamous cell carcinoma, and salivary gland carcinoma.	carcinoma of the head and neck; carcinoma of head and neck; head and neck carcinoma; neck carcinoma; craniocervical region carcinoma; carcinoma of craniocervical region; carcinoma of neck	mondo:otar	UMLS:C3887461; DOID:1542; MEDGEN:854345; NCIT:C35850
